,final_value,total_return,sharpe_ratio,max_drawdown
AAPL,101665.69314575195,0.016656931457519532,0.1448811002325979,-0.08035144994290502
MSFT,110149.05172729492,0.10149051727294922,0.8343798808316759,-0.06445258818384085
GOOGL,159366.8560333252,0.593668560333252,1.4054580688167586,-0.09726944626298058
AMZN,110344.48033142088,0.10344480331420884,0.41368569411166617,-0.12245047274782311
META,153096.32412719727,0.5309632412719727,1.6880511558249256,-0.06855765800934312
TSLA,162633.2483215332,0.6263324832153321,1.9679170207296015,-0.0536954541920743
NVDA,589916.6931343081,4.899166931343081,2.1165926681203855,-0.19748855747326138
AMD,244102.4574813843,1.441024574813843,1.4955478466909995,-0.16780804505789787
IBM,107984.53657531738,0.07984536575317383,1.0483189127684656,-0.0195053588669903
BTC-USD,100000.0,0.0,,0.0
ETH-USD,332238.58435058594,2.3223858435058595,2.4960394001473993,-0.08402735799951873
